Date,Torah_hw,Torah_en
04/03/2028,פָּרָשַׁת תְּרוּמָה,Parashat Terumah
11/03/2028,שַׁבָּת זָכוֹר,Shabbat Zachor
11/03/2028,עֶרֶב פּוּרִים,Erev Purim
11/03/2028,פָּרָשַׁת תְּצַוֶּה,Parashat Tetzaveh
12/03/2028,פּוּרִים,Purim
13/03/2028,שׁוּשָׁן פּוּרִים,Shushan Purim
18/03/2028,שַׁבָּת פּרה,Shabbat Parah
18/03/2028,פָּרָשַׁת כִּי תִשָּׂא,Parashat Ki Tisa
25/03/2028,שַׁבָּת הַחֹדֶשׁ,Shabbat HaChodesh
25/03/2028,פָּרָשַׁת וַיַּקְהֵל־פְקוּדֵי,Parashat Vayakhel-Pekudei
01/04/2028,פָּרָשַׁת וַיִּקְרָא,Parashat Vayikra
08/04/2028,שַׁבָּת הַגָּדוֹל,Shabbat HaGadol
08/04/2028,פָּרָשַׁת צַו,Parashat Tzav
10/04/2028,עֶרֶב פֶּסַח,Erev Pesach
11/04/2028,פֶּסַח א׳,Pesach I
12/04/2028,פֶּסַח ב׳,Pesach II
13/04/2028,פֶּסַח ג׳ (חוה״מ),Pesach III (CH‚Äô‚ÄôM)
14/04/2028,פֶּסַח ד׳ (חוה״מ),Pesach IV (CH‚Äô‚ÄôM)
15/04/2028,פֶּסַח ה׳ (חוה״מ),Pesach V (CH‚Äô‚ÄôM)
16/04/2028,פֶּסַח ו׳ (חוה״מ),Pesach VI (CH‚Äô‚ÄôM)
17/04/2028,פֶּסַח ז׳,Pesach VII
18/04/2028,פֶּסַח ח׳,Pesach VIII
22/04/2028,פָּרָשַׁת שְּׁמִינִי,Parashat Shmini
29/04/2028,פָּרָשַׁת תַזְרִיעַ־מְּצֹרָע,Parashat Tazria-Metzora
06/05/2028,פָּרָשַׁת אַחֲרֵי מוֹת־קְדשִׁים,Parashat Achrei Mot-Kedoshim
10/05/2028,פֶּסַח שני,Pesach Sheni
13/05/2028,פָּרָשַׁת אֱמוֹר,Parashat Emor
14/05/2028,ל״ג בָּעוֹמֶר,Lag BaOmer
20/05/2028,פָּרָשַׁת בְּהַר־בְּחֻקֹּתַי,Parashat Behar-Bechukotai
27/05/2028,פָּרָשַׁת בְּמִדְבַּר,Parashat Bamidbar
30/05/2028,עֶרֶב שָׁבוּעוֹת,Erev Shavuot
31/05/2028,שָׁבוּעוֹת א׳,Shavuot I
01/06/2028,שָׁבוּעוֹת ב׳,Shavuot II
03/06/2028,פָּרָשַׁת נָשׂא,Parashat Nasso
10/06/2028,פָּרָשַׁת בְּהַעֲלֹתְךָ,Parashat Beha‚Äôalotcha
17/06/2028,פָּרָשַׁת שְׁלַח־לְךָ,Parashat Sh‚Äôlach
24/06/2028,פָּרָשַׁת קוֹרַח,Parashat Korach
01/07/2028,פָּרָשַׁת חֻקַּת,Parashat Chukat
08/07/2028,פָּרָשַׁת בָּלָק,Parashat Balak
15/07/2028,פָּרָשַׁת פִּינְחָס,Parashat Pinchas
22/07/2028,פָּרָשַׁת מַּטּוֹת־מַסְעֵי,Parashat Matot-Masei
29/07/2028,שַׁבָּת חֲזוֹן,Shabbat Chazon
29/07/2028,פָּרָשַׁת דְּבָרִים,Parashat Devarim
31/07/2028,עֶרֶב תִּשְׁעָה בְּאָב,Erev Tish‚Äôa B‚ÄôAv
01/08/2028,תִּשְׁעָה בְּאָב,Tish‚Äôa B‚ÄôAv
05/08/2028,שַׁבָּת נַחֲמוּ,Shabbat Nachamu
05/08/2028,פָּרָשַׁת וָאֶתְחַנַּן,Parashat Vaetchanan
07/08/2028,טוּ בְּאָב,Tu B‚ÄôAv
12/08/2028,פָּרָשַׁת עֵקֶב,Parashat Eikev
19/08/2028,פָּרָשַׁת רְאֵה,Parashat Re‚Äôeh
23/08/2028,רֹאשׁ הַשָּׁנָה לְמַעְשַׂר בְּהֵמָה,Rosh Hashana LaBehemot
26/08/2028,פָּרָשַׁת שׁוֹפְטִים,Parashat Shoftim
02/09/2028,פָּרָשַׁת כִּי־תֵצֵא,Parashat Ki Teitzei
09/09/2028,פָּרָשַׁת כִּי־תָבוֹא,Parashat Ki Tavo
16/09/2028,סליחות,Leil Selichot
16/09/2028,פָּרָשַׁת נִצָּבִים־וַיֵּלֶךְ,Parashat Nitzavim-Vayeilech
20/09/2028,עֶרֶב רֹאשׁ הַשָּׁנָה,Erev Rosh Hashana
21/09/2028,רֹאשׁ הַשָּׁנָה 5789,Rosh Hashana 5789
22/09/2028,רֹאשׁ הַשָּׁנָה ב׳,Rosh Hashana II
23/09/2028,שַׁבָּת שׁוּבָה,Shabbat Shuva
23/09/2028,פָּרָשַׁת הַאֲזִינוּ,Parashat Ha‚Äôazinu
29/09/2028,עֶרֶב יוֹם כִּפּוּר,Erev Yom Kippur
30/09/2028,יוֹם כִּפּוּר,Yom Kippur
04/10/2028,עֶרֶב סוּכּוֹת,Erev Sukkot
05/10/2028,סוּכּוֹת א׳,Sukkot I
06/10/2028,סוּכּוֹת ב׳,Sukkot II
07/10/2028,סוּכּוֹת ג׳ (חוה״מ),Sukkot III (CH‚Äô‚ÄôM)
08/10/2028,סוּכּוֹת ד׳ (חוה״מ),Sukkot IV (CH‚Äô‚ÄôM)
09/10/2028,סוּכּוֹת ה׳ (חוה״מ),Sukkot V (CH‚Äô‚ÄôM)
10/10/2028,סוּכּוֹת ו׳ (חוה״מ),Sukkot VI (CH‚Äô‚ÄôM)
11/10/2028,סוּכּוֹת ז׳ (הוֹשַׁעְנָא רַבָּה),Sukkot VII (Hoshana Raba)
12/10/2028,שְׁמִינִי עֲצֶרֶת,Shmini Atzeret
13/10/2028,שִׂמְחַת תּוֹרָה,Simchat Torah
14/10/2028,פָּרָשַׁת בְּרֵאשִׁית,Parashat Bereshit
21/10/2028,פָּרָשַׁת נֹחַ,Parashat Noach
28/10/2028,פָּרָשַׁת לֶךְ־לְךָ,Parashat Lech-Lecha
04/11/2028,פָּרָשַׁת וַיֵּרָא,Parashat Vayera
11/11/2028,פָּרָשַׁת חַיֵּי שָֹרָה,Parashat Chayei Sara
18/11/2028,פָּרָשַׁת תּוֹלְדוֹת,Parashat Toldot
25/11/2028,פָּרָשַׁת וַיֵּצֵא,Parashat Vayetzei
02/12/2028,פָּרָשַׁת וַיִּשְׁלַח,Parashat Vayishlach
09/12/2028,פָּרָשַׁת וַיֵּשֶׁב,Parashat Vayeshev
12/12/2028,חֲנוּכָּה: א׳ נֵר,Chanukah: 1 Candle
13/12/2028,חֲנוּכָּה: ב׳ נֵרוֹת,Chanukah: 2 Candles
14/12/2028,חֲנוּכָּה: ג׳ נֵרוֹת,Chanukah: 3 Candles
15/12/2028,חֲנוּכָּה: ד׳ נֵרוֹת,Chanukah: 4 Candles
16/12/2028,חֲנוּכָּה: ה׳ נֵרוֹת,Chanukah: 5 Candles
16/12/2028,פָּרָשַׁת מִקֵּץ,Parashat Miketz
17/12/2028,חֲנוּכָּה: ו׳ נֵרוֹת,Chanukah: 6 Candles
18/12/2028,חַג הַבָּנוֹת,Chag HaBanot
18/12/2028,חֲנוּכָּה: ז׳ נֵרוֹת,Chanukah: 7 Candles
19/12/2028,חֲנוּכָּה: ח׳ נֵרוֹת,Chanukah: 8 Candles
20/12/2028,חֲנוּכָּה: יוֹם ח׳,Chanukah: 8th Day
23/12/2028,פָּרָשַׁת וַיִּגַּשׁ,Parashat Vayigash
30/12/2028,פָּרָשַׁת וַיְחִי,Parashat Vayechi
